0029bc2765	13698.18343	9303.3337	1983.1998	2476.10718
004d253f55	21379.8064	15670.6354	7563.23158	25927.12209
0057e4581d	2926.24568	3586.1016	21759.11093	2800.10956
00a7fae75d	9469.30586	5061.3279	23116.29718	15855.25837
00ad53b83c	5776.6453	31311.3381	595.1756	19452.8698
00ba709620	22665.26226	22906.30633	25559.15104	21069.9760
00c673faaf	28979.18250	18704.28596	18695.9707	18906.3935
00e1d28dc7	3664.26804	24156.27829	8353.6182	18116.20342
00f813c8c2	23501.9337	22094.29991	2211.22454	12737.23683
017634d25a	6403.18746	18752.3584	241.2944	9006.30353
01939b758a	8051.590	22209.12960	20875.1382	9376.10246
020e17b335	15135.26272	24414.7810	6652.32538	11072.20578
0235e38dc4	23122.19988	26648.32032	16207.2361	11241.12606
026795b6e8	8433.27990	22953.10832	13335.7084	31010.9331
0270afe61a	32675.27860	31054.139	1092.21654	12053.1217
02dcb45337	29374.17290	10436.17728	9286.24868	23652.26029
038a7344e5	13007.8983	23950.13321	7055.30350	17738.4295
03cd995f6f	1614.7159	4225.1141	29667.9866	30412.25606
041d2be458	9476.27589	6359.17896	25277.11321	32587.13449
04553b1ae1	22095.23643	17906.23661	11213.13836	14424.23995
04792b309d	13738.27426	5578.4959	8199.26633	5654.26339
049b1de3b7	9581.6806	27256.9290	21379.19745	583.17098
04c7b4711e	29075.4282	13443.12303	12396.20104	5310.13601
04dd28b6de	17461.17633	26328.15970	15806.194	12138.8327
04e6c61d46	25266.21613	8041.27630	20183.8449	17970.28001
0564f516aa	15455.27798	25632.6827	18943.22003	5823.20265
0590b15300	25244.24548	2622.5961	32269.22094	20376.30236
059d6f6acb	13061.32297	23220.6425	29736.26125	22678.5828
05bf8b85cc	26542.6043	15265.17824	27617.9084	28454.29065
063a4f1c3d	17167.21819	19038.5752	4248.21672	12662.24958
066b257b68	11553.19544	27928.27350	8843.24829	11174.22778
06b18a739c	32397.24376	31578.12141	10114.32571	28495.27811
0707fafcac	19688.5769	18451.24131	21914.3601	28908.4696
0787fc36c8	28974.1703	12589.17842	22044.31641	11622.27482
07b304f6b3	6833.18875	21606.7828	20143.19866	21581.10695
087cf4deca	4094.32446	28646.7514	16752.30127	3297.28930
08c5747a56	3320.3547	18535.29260	10805.541	1057.18675
091817c19f	1795.22155	16222.30940	3031.14666	1516.32293
09465fa68e	6517.30073	17800.27563	6998.31099	6915.14533
09634d3c1f	19432.12876	3017.16684	4084.14961	6709.26412
0969c1cce8	12783.23012	19770.19132	3463.29449	21044.22215
0986449fd9	32412.18325	22597.3464	15176.18905	29106.4909
0b1ecc2ef0	22794.29308	18663.6326	27583.24276	9097.11095
0b9ac7c467	24651.6724	29030.7486	26467.1991	2573.14328
0bda8bc195	24668.1135	19874.2689	15587.27075	1898.22500
0be7e04ebc	26936.28081	4889.22113	12554.23498	27097.6252
0c3ffd724a	4568.23184	24941.31237	10218.9155	13194.19618
0c81dfe16d	14156.21296	3018.6525	25850.9240	11979.5233
0c94e77cb7	25011.25406	22106.13787	18939.21086	1161.17959
0cbde01a08	21963.14590	4347.6821	26092.7326	22040.14466
0ce246dbec	19931.30996	30843.7049	7955.1665	5740.20497
0d2d3928e3	13183.31139	1482.8505	19185.20758	17250.5814
0d417483e9	12193.14612	7695.1497	21607.9539	31014.20306
